wavelength      spectral_flux_density
um              W/m^2/um
1.342302e-01    1.128464e+07
1.349013e-01    1.433037e+07
1.355759e-01    1.617895e+07
1.362537e-01    1.621067e+07
1.369350e-01    1.771828e+07
1.376197e-01    2.111664e+07
1.383078e-01    2.448114e+07
1.389993e-01    2.762717e+07
1.396943e-01    2.867838e+07
1.403928e-01    2.748349e+07
1.410947e-01    2.706061e+07
1.418002e-01    2.732859e+07
1.425092e-01    2.789299e+07
1.432218e-01    2.874741e+07
1.439379e-01    3.330807e+07
1.446576e-01    4.288546e+07
1.453809e-01    4.618774e+07
1.461078e-01    4.248727e+07
1.468383e-01    4.092632e+07
1.475725e-01    4.102717e+07
1.483104e-01    4.394697e+07
1.490519e-01    4.979857e+07
1.497972e-01    5.424971e+07
1.505461e-01    5.719366e+07
1.512989e-01    6.304655e+07
1.520554e-01    7.207116e+07
1.528157e-01    8.892972e+07
1.535797e-01    1.166408e+08
1.543476e-01    1.190163e+08
1.551194e-01    9.976041e+07
1.558950e-01    1.002793e+08
1.566744e-01    1.158841e+08
1.574578e-01    1.485338e+08
1.582451e-01    2.058099e+08
1.590363e-01    2.382006e+08
1.598315e-01    2.414390e+08
1.606307e-01    2.350319e+08
1.614338e-01    2.222157e+08
1.622410e-01    2.181978e+08
1.630522e-01    2.200646e+08
1.638675e-01    2.038004e+08
1.646868e-01    1.779008e+08
1.655102e-01    1.683364e+08
1.663378e-01    1.682548e+08
1.671695e-01    1.946157e+08
1.680053e-01    2.480739e+08
1.688453e-01    2.656763e+08
1.696896e-01    2.540041e+08
1.705380e-01    2.496724e+08
1.713907e-01    2.497960e+08
1.722477e-01    2.481038e+08
1.731089e-01    2.453023e+08
1.739744e-01    2.518368e+08
1.748443e-01    2.645711e+08
1.757185e-01    2.791090e+08
1.765971e-01    2.951814e+08
1.774801e-01    3.271473e+08
1.783675e-01    3.726739e+08
1.792593e-01    3.868360e+08
1.801556e-01    3.806570e+08
1.810564e-01    3.552655e+08
1.819617e-01    3.218496e+08
1.828715e-01    3.121675e+08
1.837859e-01    3.143558e+08
1.847048e-01    3.183872e+08
1.856283e-01    3.234709e+08
1.865565e-01    3.300166e+08
1.874892e-01    3.374388e+08
1.884267e-01    3.348639e+08
1.893688e-01    3.272304e+08
1.903157e-01    3.244372e+08
1.912673e-01    3.240239e+08
1.922236e-01    3.246445e+08
1.931847e-01    3.257775e+08
1.941506e-01    3.465632e+08
1.951214e-01    3.791854e+08
1.960970e-01    3.928839e+08
1.970775e-01    3.967704e+08
1.980629e-01    3.899282e+08
1.990532e-01    3.784309e+08
2.000484e-01    3.581995e+08
2.010487e-01    3.352576e+08
2.020539e-01    3.291369e+08
2.030642e-01    3.299796e+08
2.040795e-01    3.454255e+08
2.050999e-01    3.683577e+08
2.061254e-01    3.761574e+08
2.071560e-01    3.772121e+08
2.081918e-01    3.797853e+08
2.092328e-01    3.830021e+08
2.102789e-01    3.729903e+08
2.113303e-01    3.582101e+08
2.123870e-01    3.382420e+08
2.134489e-01    3.172876e+08
2.145162e-01    3.116639e+08
2.155888e-01    3.115486e+08
2.166667e-01    3.162503e+08
2.177500e-01    3.228551e+08
2.188388e-01    3.240139e+08
2.199330e-01    3.231747e+08
2.210326e-01    3.097349e+08
2.221378e-01    2.927116e+08
2.232485e-01    2.929597e+08
2.243647e-01    2.990411e+08
2.254866e-01    3.000053e+08
2.266140e-01    2.992336e+08
2.277471e-01    3.018343e+08
2.288858e-01    3.055731e+08
2.300302e-01    2.991290e+08
2.311804e-01    2.897164e+08
2.323363e-01    2.722487e+08
2.334980e-01    2.534612e+08
2.346654e-01    2.426517e+08
2.358388e-01    2.342572e+08
2.370180e-01    2.286335e+08
2.382031e-01    2.238559e+08
2.393941e-01    2.215503e+08
2.405910e-01    2.199385e+08
2.417940e-01    2.327162e+08
2.430030e-01    2.505978e+08
2.442180e-01    2.551792e+08
2.454391e-01    2.559900e+08
2.466663e-01    2.569157e+08
2.478996e-01    2.578742e+08
2.491391e-01    2.597204e+08
2.503848e-01    2.618043e+08
2.516367e-01    2.410033e+08
2.528949e-01    2.169985e+08
2.541594e-01    2.206585e+08
2.554302e-01    2.309205e+08
2.567073e-01    2.458165e+08
2.579909e-01    2.626957e+08
2.592808e-01    2.620515e+08
2.605772e-01    2.574568e+08
2.618801e-01    2.760109e+08
2.631895e-01    3.014768e+08
2.645055e-01    3.108021e+08
2.658280e-01    3.166133e+08
2.671571e-01    3.148535e+08
2.684929e-01    3.116025e+08
2.698354e-01    3.031150e+08
2.711845e-01    2.938829e+08
2.725405e-01    2.842872e+08
2.739032e-01    2.748894e+08
2.752727e-01    2.737378e+08
2.766491e-01    2.740251e+08
2.780323e-01    2.438456e+08
2.794225e-01    2.126524e+08
2.808196e-01    2.487442e+08
2.822237e-01    3.053825e+08
2.836348e-01    3.079356e+08
2.850530e-01    3.010003e+08
2.864782e-01    3.012142e+08
2.879106e-01    3.025024e+08
2.893502e-01    3.132415e+08
2.907969e-01    3.258040e+08
2.922509e-01    3.244640e+08
2.937122e-01    3.211924e+08
2.951807e-01    3.276854e+08
2.966566e-01    3.356428e+08
2.981399e-01    3.417033e+08
2.996306e-01    3.476066e+08
3.011288e-01    3.491139e+08
3.026344e-01    3.500919e+08
3.041476e-01    3.438467e+08
3.056683e-01    3.369183e+08
3.071967e-01    3.370430e+08
3.087326e-01    3.379173e+08
3.102763e-01    3.371024e+08
3.118277e-01    3.361193e+08
3.133868e-01    3.377900e+08
3.149538e-01    3.397233e+08
3.165285e-01    3.384576e+08
3.181112e-01    3.369129e+08
3.197017e-01    3.335343e+08
3.213002e-01    3.300381e+08
3.229067e-01    3.293152e+08
3.245213e-01    3.288066e+08
3.261439e-01    3.323962e+08
3.277746e-01    3.363245e+08
3.294135e-01    3.394485e+08
3.310605e-01    3.425450e+08
3.327158e-01    3.390823e+08
3.343794e-01    3.352640e+08
3.360513e-01    3.332896e+08
3.377316e-01    3.314256e+08
3.394202e-01    3.303161e+08
3.411173e-01    3.292471e+08
3.428229e-01    3.285281e+08
3.445370e-01    3.278260e+08
3.462597e-01    3.276333e+08
3.479910e-01    3.274603e+08
3.497310e-01    3.273794e+08
3.514796e-01    3.273016e+08
3.532370e-01    3.305783e+08
3.550032e-01    3.339833e+08
3.567782e-01    3.278855e+08
3.585621e-01    3.216883e+08
3.603549e-01    3.219469e+08
3.621567e-01    3.223190e+08
3.639675e-01    3.120488e+08
3.657873e-01    3.019787e+08
3.676163e-01    2.936350e+08
3.694543e-01    2.855321e+08
3.713016e-01    3.148331e+08
3.731581e-01    3.472719e+08
3.750239e-01    3.932349e+08
3.768990e-01    4.451800e+08
3.787835e-01    4.889357e+08
3.806774e-01    5.366949e+08
